year,tourists,higashiyama_onsen,ashinomaki_onsen,tsurugajo_castle,oyakuen,prefectural_museum
1992,3816000,956555,538807,937407,74619,234398
1993,3691000,919685,483953,923038,82834,246840
1994,3690000,989673,493330,848089,86013,207966
1995,3415000,856870,503895,804059,90640,203279
1996,3272000,872045,472453,756826,82319,260196
1997,3068000,838114,447677,735036,78827,163643
1998,2741000,715327,392843,669632,74899,160090
1999,2703000,673929,399307,644043,62628,144725
2000,2700000,607122,406589,554171,60821,120439
2001,2710000,561799,393984,551083,58537,103617
2002,2701000,558455,375728,537522,61925,109276
2003,2697000,534678,390170,540361,67482,91798
2004,3022000,497027,346650,608435,67988,162249
2005,3153000,483518,343644,583383,60653,80205
2006,3305000,492385,339100,601410,64780,104380
2007,3493000,561705,355685,656340,65669,97319
2008,3317000,545529,326130,623952,66408,84148
2009,3447000,532342,316484,734142,63017,95766
2010,2780000,543814,305075,500510,52003,95888
2011,2348000,401474,208659,474691,37515,61300
2012,2959000,532140,241637,556480,52927,92582
2013,3959000,566409,282457,945298,82528,107011
2014,2895000,473889,226426,599365,56655,60206
2015,3046000,473819,233267,622587,52574,63264
2016,2942000,532941,229462,593177,56344,62431
2017,2970000,537783,234439,570182,56036,66789
2018,3064000,552384,219491,587561,55804,128209
2019,3002000,524329,230764,582566,52915,119751
2020,918000,337612,145948,314323,31195,59520
2021,830000,309094,102621,275446,26409,80566
2022,1407000,437540,132315,336911,35184,160761
2023,1747000,490269,163541,505723,44521,76247
